answer_id,content,question_id,link,time difference(between answer and questions),outdated (manually checked),description,partly outdated,totally outdated,is aws-related,related service,keywords,phrases,strucutures,other notes
2012755,,2012754,https://stackoverflow.com/questions/2012755,,TRUE,link in question outdated,,,yes,aws,deprecated,has been deprecated,"provide alternatives, share a link",
3096855,,3096631,https://stackoverflow.com/questions/3096855,,TRUE,answer outdated and pointed out by answerer himself,,,yes,amazon-emr,deprecated,,point out deprecated version,
3895343,,3893211,https://stackoverflow.com/questions/3895343,,FALSE,code format in question outdated,,,no,,deprecated,,provide alternatives,
3991880,,3931881,https://stackoverflow.com/questions/3991880,,TRUE,service in question outdated,,,yes,aws-api,deprecated,stopped working,point out deprecated version,
4150436,,4149973,https://stackoverflow.com/questions/4150436,,TRUE,service in question outdated,,,yes,amazon-ecs,outdated,,"point out deprecated version, share a link",
4337337,,4336842,https://stackoverflow.com/questions/4337337,,TRUE,service in question outdated,,,yes,aws-sdk-ruby,out of date,version way out of date,"provide alternatives, provide code",
4979599,,4976451,https://stackoverflow.com/questions/4979599,,TRUE,service in question outdated,,,yes,"amazon-ec2, amazon-ami",outdated,kinda outdated now,"provide alternatives, share a link",
5029447,,5027097,https://stackoverflow.com/questions/5029447,,TRUE,service in question outdated,,,yes,amazon-emr,deprecated,,provide alternatives,
5265964,,4498192,https://stackoverflow.com/questions/5265964,,TRUE,service in question outdated,,,yes,amazon-simpledb,deprecated,,"provide alternatives, share a link",
5654982,,5639803,https://stackoverflow.com/questions/5654982,,FALSE,outdated software-possible cause raised by answerer,,,yes,amazon-ses,outdated,,"provide alternatives, share a link",
5820746,,5820120,https://stackoverflow.com/questions/5820746,,FALSE,file extension in question outdated,,,no,ogg,deprecated,,"provide alternatives, share a link",
5935495,,4811761,https://stackoverflow.com/questions/5935495,,TRUE,service in question outdated,,,yes,amazon-simpledb,outdated,all others are outdated,"provide alternatives, share a link",
7129403,,4521846,https://stackoverflow.com/questions/7129403,,TRUE,service in question outdated,,,yes,mturk,deprecated,,"provide alternatives, share a link",
7322249,,7259601,https://stackoverflow.com/questions/7322249,,FALSE,outdated kernels,,,yes,amazon-ec2,outdated,,user found issues himself,
7543698,,6645026,https://stackoverflow.com/questions/7543698,,TRUE,service in question outdated,,,no,ruby-rails,deprecated,has been deprecated,provide alternatives,other nonaws-related services outdated
7642625,,7638646,https://stackoverflow.com/questions/7642625,,FALSE,outdated solution provided due to costs (but still practical),,,yes,amazon-ec2,outdated,,"provide alternatives, share a link",
7651730,,6675018,https://stackoverflow.com/questions/7651730,,TRUE,service in question outdated,,,yes,"amazon-mws, amazon-product-api",deprecated,,"point out deprecated version, provide alternatives, share a link",
7718816,,7704946,https://stackoverflow.com/questions/7718816,,FALSE,outdated' mentioned to answer questions,,,yes,amazon-s3,outdated,,provide alternatives,
7865273,,7864988,https://stackoverflow.com/questions/7865273,,TRUE,code format in question outdated,,,no,UIDevice-uniqueIdentifier,deprecated,,"point out deprecated version, provide alternatives, share a link",
8106724,,8106239,https://stackoverflow.com/questions/8106724,,FALSE,outdated' mentioned to answer questions,,,no,amazon-ec2,out of date,,share a link,
8109806,,8109792,https://stackoverflow.com/questions/8109806,,TRUE,code format in question outdated,,,,,,,,
